Object ID,Asset ID,Map Label,Asset Name,Asset Type,Asset Subtype,Quantity,Functional Area ID,Property ID,Facility ID,Floor ID,Geom
1,148839,Trash Can,Turf Trash Can,Trash Can,,2,11951,7,11820,,"(37.7444541877, -122.44032658)"
2,148303,Bench,Concrete Pathway Benches,Bench,,18,12496,7,12495,,"(37.7442925856, -122.440344562)"
3,148302,Drinking Fountain,Perennial Bed Drinking Fountains,Drinking Fountain,,1,74740,7,11820,,"(37.7442492025, -122.440360757)"
8,149769,Trash Can,Turf Trash Cans,Trash Can,,3,19160,63,11808,,"(37.7592866465, -122.427280143)"
9,149710,Bench,Turf Benches,Bench,,9,19160,63,11808,,"(37.7589919085, -122.427525482)"
10,149765,Trash Can,Concrete Pathway Trash Cans,Trash Can,,7,12635,63,12633,,"(37.7582994788, -122.425990875)"
11,149741,Picnic Table,Picnic Area 2 Tables,Table,,2,460,63,418,,"(37.7587434671, -122.427145705)"
12,149741,Picnic Table,Picnic Area 2 Tables,Table,,2,460,63,418,,"(37.7586725491, -122.427089866)"
13,149745,Picnic Table,Picnic Area 4 Tables,Table,,5,72895,63,418,,"(37.7590041255, -122.427015958)"
14,149745,Picnic Table,Picnic Area 4 Tables,Table,,5,72895,63,418,,"(37.7590414886, -122.426978572)"
15,149745,Picnic Table,Picnic Area 4 Tables,Table,,5,72895,63,418,,"(37.7589607673, -122.427034673)"
16,149745,Picnic Table,Picnic Area 4 Tables,Table,,5,72895,63,418,,"(37.7590759202, -122.426927883)"
17,149745,Picnic Table,Picnic Area 4 Tables,Table,,5,72895,63,418,,"(37.7590485534, -122.426867653)"
18,149766,Trash Can,Picnic Area 4 Trash Cans,Trash Can,,1,72895,63,418,,"(37.7590335586, -122.427014077)"
19,149711,Bench,Children's Play Area Benches,Bench,,8,409,63,388,,"(37.7586765812, -122.427011429)"
20,149711,Bench,Children's Play Area Benches,Bench,,8,409,63,388,,"(37.7587145191, -122.427003156)"
21,149711,Bench,Children's Play Area Benches,Bench,,8,409,63,388,,"(37.7587501626, -122.427006726)"
22,149711,Bench,Children's Play Area Benches,Bench,,8,409,63,388,,"(37.7587950362, -122.427023761)"
23,149711,Bench,Children's Play Area Benches,Bench,,8,409,63,388,,"(37.7589485344, -122.426755283)"
24,149711,Bench,Children's Play Area Benches,Bench,,8,409,63,388,,"(37.7589072631, -122.426710566)"
25,149767,Trash Can,Children's Play Area Trash Cans,Trash Can,,2,409,63,388,,"(37.7589805531, -122.426787856)"
26,149711,Bench,Children's Play Area Benches,Bench,,8,409,63,388,,"(37.7588261927, -122.426659526)"
27,149767,Trash Can,Children's Play Area Trash Cans,Trash Can,,2,409,63,388,,"(37.7588445809, -122.426677242)"
28,149711,Bench,Children's Play Area Benches,Bench,,8,409,63,388,,"(37.7587938815, -122.426646992)"
29,149740,Picnic Table,Picnic Area 1 Tables,Table,,2,459,63,418,,"(37.7587133065, -122.426499207)"
30,149740,Picnic Table,Picnic Area 1 Tables,Table,,2,459,63,418,,"(37.7587160415, -122.426396115)"
31,149768,Trash Can,Perennial Bed Trash Cans,Trash Can,,3,72990,63,11808,,"(37.7599982028, -122.428104489)"
34,150526,Trash Can,Picnic Area 2 Trash Cans,Trash Can,,4,465,49,421,,"(37.7510827782, -122.404450836)"
35,150526,Trash Can,Picnic Area 2 Trash Cans,Trash Can,,4,465,49,421,,"(37.7510931201, -122.404453375)"
36,150526,Trash Can,Picnic Area 2 Trash Cans,Trash Can,,4,465,49,421,,"(37.7510648299, -122.404444121)"
38,150527,Trash Can,Turf Trash Cans,Trash Can,,5,11888,49,11771,,"(37.7509751355, -122.404955874)"
42,150527,Trash Can,Turf Trash Cans,Trash Can,,5,11888,49,11771,,"(37.7512343607, -122.405756781)"
43,150527,Trash Can,Turf Trash Cans,Trash Can,,5,11888,49,11771,,"(37.7511356527, -122.405374676)"
50,150529,Trash Can,Picnic Area 1 Trash Cans,Trash Can,,4,464,49,421,,"(37.7504263776, -122.404441193)"
51,150529,Trash Can,Picnic Area 1 Trash Cans,Trash Can,,4,464,49,421,,"(37.7504311234, -122.40442441)"
52,150529,Trash Can,Picnic Area 1 Trash Cans,Trash Can,,4,464,49,421,,"(37.750439131, -122.404413346)"
53,150529,Trash Can,Picnic Area 1 Trash Cans,Trash Can,,4,464,49,421,,"(37.7504493309, -122.404405154)"
54,150528,Trash Can,Performance Space Trash Cans,Trash Can,,1,426,49,403,,"(37.7503635071, -122.404801621)"
55,150520,Picnic Table,Concrete Pathway Picnic Tables,Table,,1,12680,49,11772,,"(37.7501668632, -122.405320245)"
56,150525,Trash Can,Concrete Pathway Trash Cans,Trash Can,,2,12680,49,11772,,"(37.7501539192, -122.405341082)"
57,150506,Picnic Table,Turf Picnic Tables,Table,,1,11888,49,11771,,"(37.7501421395, -122.405067085)"
